amount_tweeted,created_at,language,location,primary_geo,screen_name,text_tweet,timestamp,ts,user_id,borough
1.0,Mon Apr 16 18:24:24 +0000 2018,en,"UK, Midlands","51.5469731, -0.0750252",dJayNewman,? Photo album is live on our Facebook page from our @hideoutfestival launch show in London! https://t.co/w8vBlkimXT,1523903064748,,87441689.0,Islington
1.0,Mon Apr 16 18:24:24 +0000 2018,en," Shoreditch, London","51.50711486, -0.12731805",Amici_Miei,"Calling all our Vegans friends....now on @AmiciMiei2go menu 
#veganpizza https://t.co/8O638QyeDA",1523903064433,,97098324.0,Westminster
1.0,Mon Apr 16 18:24:25 +0000 2018,en,Rickmansworth,"51.5383924, -0.01668793",Lady_in_a_1M,Cant help but think Im missing out on something special from The https://t.co/WXAaiXQwI3,1523903065632,,133639815.0,Newham
1.0,Mon Apr 16 18:24:28 +0000 2018,en,"Camden Town, London","Islington, London, United Kingdom",T_Mwadime,@NorthMidNHS - a full investigation into the treatment of a miscarriage patient in your hospital this weekend is re https://t.co/ooaJKAbnFJ,1523903068708,,54506573.0,Islington
1.0,Mon Apr 16 18:24:34 +0000 2018,en,,"Merton, London, United Kingdom",ClaireJeff,Fab effort boys and all those who made it possible xx https://t.co/QbYvOjb31P,1523903074777,,21328356.0,Merton
2.0,Mon Apr 16 18:24:35 +0000 2018,en,"London, UK","Barnet, London, United Kingdom",FVT,@sirjester @quentynblog @J4vv4D Yeah some people should never be allowed to fly any drones anywhere,1523903075314,,797943.0,Barnet
1.0,Mon Apr 16 18:24:41 +0000 2018,en,,"51.51, -0.1279",blondambition82,Young @ Garrick Theatre https://t.co/a21L1eUGF8,1523903081114,,341881828.0,Westminster
6.0,Mon Apr 16 18:24:43 +0000 2018,und,"Richmond, London","Richmond, London, United Kingdom",robertpalka6661,@bev_nest  https://t.co/ze9ignOGYN,1523903083940,,9.728203620010353e+17,Richmond upon Thames
1.0,Mon Apr 16 18:24:44 +0000 2018,en,London,"51.51300356, -0.12230271",karenders,Beyond grateful for @royaloperahouse Friday Rush seats - couldn't resist the chance to watch the https://t.co/szA8inpBQm,1523903084983,,62240376.0,Westminster
5.0,Mon Apr 16 18:24:45 +0000 2018,en,London,"Ilford, London, United Kingdom",ACorriette,"They never used their mouth, but every day my mum, sister, cousins, aunties, grandmothers, girlfriends would say F https://t.co/apqS3K2UhC",1523903085455,,77697883.0,Redbridge
1.0,Mon Apr 16 18:24:45 +0000 2018,en,"Ealing, London","Ealing, London, United Kingdom",Kingy_Harry,@Madgeyyy Honestly what the fuck is that all about,1523903085736,,389168674.0,Ealing
1.0,Mon Apr 16 18:24:47 +0000 2018,en,"London, England","Kensington, London, United Kingdom",soupdragon2000,Only a few days left to apply for my job at @NAM_London - get your application in before Sunday night! https://t.co/dZx7t3Hrmm,1523903087695,,17866127.0,Kensington and Chelsea
3.0,Mon Apr 16 18:24:54 +0000 2018,en,,"Lambeth, London, United Kingdom",emilyrosehu,This is a new level of fucked up... Ban the Sale of Cruel 'Live Animal' Keychains - Sign the Petition! https://t.co/SkGEuLtAsW via @UKChange,1523903094029,,50048476.0,Lambeth
1.0,Mon Apr 16 18:25:01 +0000 2018,en,"London,England.United Kingdom","Lambeth, London, United Kingdom",CountRessSpiffy,@RoyalFamily @KensingtonRoyal Prince William?,1523903101958,,9.196102783121367e+17,Lambeth
2.0,Mon Apr 16 18:25:02 +0000 2018,en,"London, UK","Brent, London, United Kingdom",PaulBoldeau,@naomi_empowers @NorthMidNHS @naomi_empowers I really think you should use this example when you do your next speec https://t.co/evG273RmPu,1523903102696,,367481082.0,Brent
2.0,Mon Apr 16 18:25:03 +0000 2018,en,"London, England","Camberwell, London, United Kingdom",danielstarman,@ChrisLeslieMP please de select this idiot.,1523903103997,,156409282.0,Southwark
1.0,Mon Apr 16 18:25:07 +0000 2018,en,London,"Camden Town, London, United Kingdom",Aarontoomuch__,Seinabo Sey is what Misha B should have been,1523903107660,,148448733.0,Camden
1.0,Mon Apr 16 18:25:08 +0000 2018,en,"Loughton, East","Ilford, London, United Kingdom",FrenchAntiques4,French Antiques salvage is open daily at Riverside Antique Centre The Maltings Station Road Sawbridgeworth Herts fr https://t.co/E9F8zMOqgn,1523903108699,,8.906209389365166e+17,Redbridge
1.0,Mon Apr 16 18:25:11 +0000 2018,en,london,"51.5124698, -0.1204465",chefnrasile,"Come soon to the menu @OperaTavern is this touched Cornish mackerel, Jersey royal potatoes https://t.co/BySsJuX0D1",1523903111745,,174499781.0,Westminster
5.0,Mon Apr 16 18:25:15 +0000 2018,en,,"Stratford, London, United Kingdom",EMAY4K,Each time I refresh my timeline someone elaw is leaving Radar Radio. I love this game.,1523903115681,,393545562.0,Newham
3.0,Mon Apr 16 18:25:21 +0000 2018,en,"E17, EC4A, PR8 and 86500","Walthamstow, London, United Kingdom",michaelranson,@LenLetaylor @JohnnyMercerUK I hope people who pointed out your mistake also take time to give you some credit for https://t.co/HnuUCAElkD,1523903121370,,17519944.0,Waltham Forest
2.0,Mon Apr 16 18:25:21 +0000 2018,en,"Camberwell, London","Camberwell, London, United Kingdom",judgy100,"@ltarsenal @gooner1jdc A team with Holding, Xhaka and Kolasinac will never win the Premier League",1523903121876,,287874022.0,Southwark
6.0,Mon Apr 16 18:25:35 +0000 2018,en,London,"Wandsworth, London, United Kingdom",Laura_Rads,Just used deep heat for the first time. My god its strong and feels like its stinging! Such a weird sensation,1523903135196,,32538068.0,Wandsworth
3.0,Mon Apr 16 18:25:43 +0000 2018,en,London £$,"Camden Town, London, United Kingdom",shabayn,"Neapolitan-Chocolate: Skin colour, Strawberry: Pink circumcised dick head, Vanilla: d1ck cheese?? https://t.co/AFWCQMKDBy",1523903143385,,2451572556.0,Camden
1.0,Mon Apr 16 18:25:45 +0000 2018,en,"London, England","51.5221141, -0.1382633",boobking_,i miss her @ LSE Carr-Saunders Hall https://t.co/AVnN5oXtlh,1523903145418,,952310628.0,Camden
1.0,Mon Apr 16 18:25:46 +0000 2018,en,"Burgess Hill, England","Stratford, London, United Kingdom",kerrybha95,Aaron won free tickets to the west ham game tonight... an they are actually decent seats. Apart from I'm short an c https://t.co/6TnvHIi831,1523903146456,,177160116.0,Newham
1.0,Mon Apr 16 18:25:49 +0000 2018,en,London,"Hackney, London, United Kingdom",BoomNails,"@VSCO_support Thank you! Yes for sure, Ill do that now ???",1523903149247,,236107820.0,Hackney
1.0,Mon Apr 16 18:25:53 +0000 2018,en,,"Lambeth, London, United Kingdom",RinorSY,Say it louder shannon https://t.co/fUr4MCauRY,1523903153242,,499156228.0,Lambeth
7.0,Mon Apr 16 18:25:58 +0000 2018,und,"Copenhagen, Denmark","Hillingdon, London, United Kingdom",Nordrir,@JohnGriffithsUk  https://t.co/v1k47eYVvD,1523903158114,,8.489076298837893e+17,Hillingdon
1.0,Mon Apr 16 18:25:59 +0000 2018,en,London,"Poplar, London, United Kingdom",DrEdFitzgerald,"Big congrats @aneelbhangu, well deserved! #colorectalsurgery https://t.co/NWIIHv8H6K",1523903159705,,100588110.0,Tower Hamlets
1.0,Mon Apr 16 18:26:10 +0000 2018,fr,Lille ??,"51.50711486, -0.12731805",QuentinDillies,"??
#London #Wembley #TottenhamManCity à London, United Kingdom https://t.co/o65S52FiAF",1523903170508,,497281792.0,Westminster
4.0,Mon Apr 16 18:26:10 +0000 2018,en,,"City of London, London, United Kingdom",JohnSalako,@garytheeagle Just seen that. Spell check is killing me. Lol.,1523903170622,,81435345.0,City of London
1.0,Mon Apr 16 18:26:12 +0000 2018,en,"London, England","Merton, London, United Kingdom",jahan_001,@croydonhealth your hospital is disgusting fall broken same bone as last year  a&amp;e 8 hours no pain relief sent home https://t.co/xH4G7CWn1w,1523903172116,,245532806.0,Merton
1.0,Mon Apr 16 18:26:15 +0000 2018,und,London,"Barnet, London, United Kingdom",_ChrisGreg,@Memjutsu ?,1523903175642,,239493932.0,Barnet
3.0,Mon Apr 16 18:26:20 +0000 2018,en,"London, Muggy E1","Poplar, London, United Kingdom",DessieRascal,@samsonkayo sit on my face,1523903180946,,21849023.0,Tower Hamlets
5.0,Mon Apr 16 18:26:29 +0000 2018,en,"London, England","Poplar, London, United Kingdom",street_trash2,"One of my fav R Lee Ermey roles was THE LION SLAUGHTERER. Oh, wait a min... https://t.co/t2AfJlHuMg",1523903189202,,4792572681.0,Tower Hamlets
1.0,Mon Apr 16 18:26:30 +0000 2018,en,"London, England","51.50711486, -0.12731805",minelaaa,"Citrus ?? @ London, United Kingdom https://t.co/w7NT8ORTvZ",1523903190020,,229917248.0,Westminster
1.0,Mon Apr 16 18:26:32 +0000 2018,en,"London, England","Richmond, London, United Kingdom",NicholasMayne,"@SW_Help @SurbitonMoan @Srbtncomplainer Yeah, this is a poor policy, can it be changed?",1523903192264,,112149377.0,Richmond upon Thames
4.0,Mon Apr 16 18:26:34 +0000 2018,en,"London, England","Croydon, London, United Kingdom",J4MSZ,Every time I log into Facebook I remember why I stay logged out.,1523903194940,,9.432957281511219e+17,Croydon
1.0,Mon Apr 16 18:26:35 +0000 2018,en,London,"Lambeth, London, United Kingdom",heyitshannahsr,Im going to need a feature length film of #BEYCHELLA including behind the scene footage of how this sorcery was put together.,1523903195344,,71039738.0,Lambeth
2.0,Mon Apr 16 18:26:35 +0000 2018,en,Alexandra Palace,"Tottenham, London, United Kingdom",Samcharitydm,@CharityNikki @springsteen Thank you! I love him too! Too much my family might say! ?,1523903195574,,2511829057.0,Haringey
1.0,Mon Apr 16 18:26:41 +0000 2018,en,London,"Wandsworth, London, United Kingdom",shanermann,@JulesDaulby @EducationFest @WomenEd @ViviennePorritt @EquitableEd @TheHopefulHT @keziah70 Done! https://t.co/2QnatqzcCv,1523903201684,,206818538.0,Wandsworth
1.0,Mon Apr 16 18:26:46 +0000 2018,en,N 51ï¿½23' 0'' / E 0ï¿½6' 0'',"Bromley, London, United Kingdom",julieashers,Can't function ..... #jetlag https://t.co/KnzCPr8B8p,1523903206731,,176791240.0,Bromley
1.0,Mon Apr 16 18:26:51 +0000 2018,en,london,"51.46376944, -0.16771111",eniatypedotcom,"Shaun Murray: Detail of Tellurian Relics, Surrealist Thames-side Piers, London, 2017. Hand https://t.co/RYV17kpDqD",1523903211892,,73915793.0,Wandsworth
6.0,Mon Apr 16 18:26:52 +0000 2018,en,London,"Camberwell, London, United Kingdom",lsharp2,@AndrewTurner79 @PL_PoIIs Ngolos for sure t-man! Its a little walnut ?,1523903212741,,228527681.0,Southwark
1.0,Mon Apr 16 18:26:55 +0000 2018,en,"London, England","51.5588372, -0.053197",StyleAndError,More from Tandem from @katematthams styled by anastasiabarbieri shot by @ethjgreen . Will https://t.co/KWbTAEiA5j,1523903215022,,24357874.0,Hackney
1.0,Mon Apr 16 18:26:56 +0000 2018,en,"London, England","Richmond, London, United Kingdom",owenrachel,Great to see the conversation picking up and more people getting involved. They are talking about the https://t.co/Y7m5qGHZji,1523903216214,,242269307.0,Richmond upon Thames
1.0,Mon Apr 16 18:26:57 +0000 2018,en,"Watford, England","Brent, London, United Kingdom",bradders2013uk,@lee_ryder can 8th be Europa League? If Arsenal come 6th and win the Europa League and its Chelsea v Spurs/Man U i https://t.co/rQBwEtCY0d,1523903217383,,2181146297.0,Brent
2.0,Mon Apr 16 18:26:58 +0000 2018,en,Billericay,"Stratford, London, United Kingdom",shrimperjon,"Got offered two freebies so cant say no, another ground to tick off. Come on @stokecity dont let me down. https://t.co/y6gs7GoEw8",1523903218661,,312908461.0,Newham
1.0,Mon Apr 16 18:27:00 +0000 2018,en,London,"51.50711486, -0.12731805",Squeechie,"Another week to be thankful for . live life n love it ?????????
.
.
.
.
.
.
#goodtime #goodlife https://t.co/mu56onOyMB",1523903220906,,277146278.0,Westminster
1.0,Mon Apr 16 18:27:02 +0000 2018,en,"London, England","Lambeth, London, United Kingdom",Pete_Hemingway,@chrisgpackham promoting the use of oxy-degradable plastics - really?The evidence against them as toxic pollutants https://t.co/EjfLUAe8HA,1523903222966,,3364916171.0,Lambeth
1.0,Mon Apr 16 18:27:03 +0000 2018,en,"London, England","Brent, London, United Kingdom",Chandnix91,"I swear to god, this Indian couple only come to the gym to fucking cuddle n kiss. Bruv get a room. None of us wanna see that shit",1523903223931,,296247479.0,Brent
2.0,Mon Apr 16 18:27:04 +0000 2018,und,London,"Camden Town, London, United Kingdom",kopalina82,? https://t.co/VCgGFfsOX7,1523903224495,,27423400.0,Camden
1.0,Mon Apr 16 18:27:05 +0000 2018,en,,"Camden Town, London, United Kingdom",tristanwend,@spuksyrlondon at least the FA is doing this. He shouldve been sent off and his wouldve changed the game complete https://t.co/L0alDzVcNd,1523903225314,,1191883736.0,Camden
1.0,Mon Apr 16 18:27:07 +0000 2018,zh,Bricklane de Beigel,"Tottenham, London, United Kingdom",17OZO71,"Cata ???? mucho gusto???????????????? De nada?

?????? (/??*)·? https://t.co/smKv1E0EDs",1523903227623,,139751457.0,Haringey
1.0,Mon Apr 16 18:27:09 +0000 2018,en,"London, England","51.51291, -0.1182",xSamanthaHx,Am so looking forward to this 2nite! Love bit of Tina Turner! #TinaTheMusical #TinaTurner https://t.co/TBfXdOamau,1523903229023,,43092211.0,Westminster
1.0,Mon Apr 16 18:27:09 +0000 2018,fr,"Paris, France","51.50711486, -0.12731805",GaelOuPas,"2 CHAINZ ??
Journée chill, un beau soleil, une bonne bouffe, qui se termine par un shoot entre https://t.co/nv3i3h6svK",1523903229066,,2348505129.0,Westminster
1.0,Mon Apr 16 18:27:09 +0000 2018,en,London,"51.50282142, -0.22381088",nancylyndhurst,#brewdog #nothingelsetosay @ Brewdog Shepherds Bush https://t.co/fye6e00BrF,1523903229640,,21081485.0,Hammersmith and Fulham
5.0,Mon Apr 16 18:27:10 +0000 2018,en,"Kew, England","Hounslow, London, United Kingdom",pablodiablo74,"@alexjcraven Drat and triple drat. Off all next week, unfortunately.",1523903230272,,184751197.0,Hounslow
1.0,Mon Apr 16 18:27:09 +0000 2018,en,"London, United Kingdom","Stratford, London, United Kingdom",adamjshergold,At the London Stadium tonight for West Ham vs Stoke City. Important points at stake down at the bottom end of the t https://t.co/9XmzP4Yy7H,1523903229775,,127483703.0,Newham
1.0,Mon Apr 16 18:27:13 +0000 2018,en,,"Kingston upon Thames, London, United Kingdom",X_Tila,1 spare for Burnley available @ FV. Pick up in Kingston or post. @facevalue_CFC @CFCMatchTickets @CFCspares https://t.co/AUhVUEnL0W,1523903233794,,1445687292.0,Kingston upon Thames
2.0,Mon Apr 16 18:27:14 +0000 2018,und,london,"Hillingdon, London, United Kingdom",raymacuxbridge,@BIGginge23 https://t.co/K56WxzGKvZ,1523903234227,,257228952.0,Hillingdon
2.0,Mon Apr 16 18:27:15 +0000 2018,en,London,"Islington, London, United Kingdom",AndrewCHarries,@Dog__Person I felt that strongly in January but then felt the hope slipping away through the endless winter. Howev https://t.co/DKaifqMd22,1523903235602,,22001436.0,Islington
4.0,Mon Apr 16 18:27:21 +0000 2018,en,"Tottenham, England","Camden Town, London, United Kingdom",zmaghrabiya,Im gnna be single forever,1523903241157,,1055823829.0,Camden
2.0,Mon Apr 16 18:27:22 +0000 2018,en,London,"Paddington, London, United Kingdom",Holition,@dwidmaier suggests that Pioneers are those who talk/create a new language  ? #fashmash https://t.co/5TQswF4hKW,1523903242850,,95668712.0,Westminster
4.0,Mon Apr 16 18:27:23 +0000 2018,en,Teesside & Stockwell,"Wandsworth, London, United Kingdom",PeterCBowyer,"@Mendelpol @RichardAngell Sadly, it could also be any number of Corbynistas avatar",1523903243784,,269879624.0,Wandsworth
1.0,Mon Apr 16 18:27:28 +0000 2018,en,"London, UK","51.50711486, -0.12731805",vytautasalech,"Where do you get your design inspiration apart from the typical dribbles and behances?
.
.
#uxui https://t.co/wRP3sUdo5L",1523903248204,,70768666.0,Westminster
1.0,Mon Apr 16 18:27:28 +0000 2018,en,France,"51.5096, -0.2043",S_andra_22," London Blue House  
#Last #Weekend #Blue #House #NottingHill #London #GoodVibes #Sun #Tree @ https://t.co/qufnISpmKe",1523903248789,,96979440.0,Kensington and Chelsea
1.0,Mon Apr 16 18:27:33 +0000 2018,en,,"51.5127121, -0.14152408",Clrd__,Being sassy last night because I was buzzing I finally got to go to sketch ????? @ sketch https://t.co/5sp2nJzFmv,1523903253946,,49753777.0,Westminster
2.0,Mon Apr 16 18:27:34 +0000 2018,en,London,"Kensington, London, United Kingdom",larkingrumple,My turn to play +1 to @bachsheirswaltz this evening as the Czech National Symphony Orchestra are @cadoganhall for S https://t.co/qZ4jxeljiP,1523903254659,,268441491.0,Kensington and Chelsea
18.0,Mon Apr 16 18:27:35 +0000 2018,en,That there London,"Wandsworth, London, United Kingdom",Lucanesque,Go Jason!! barricade yourself in the office and keep tweeting #FreeJasonsManMilk https://t.co/ZDO2lyjS6R,1523903255942,,156777425.0,Wandsworth
1.0,Mon Apr 16 18:27:36 +0000 2018,en,"Bexley, England","London Stadium - West Ham United FC, United Kingdom",MrsPCB,@BroadcastMoose @WestHamUtd @stokecity What score you going with Moose?... ??,1523903256265,,237871611.0,Newham
2.0,Mon Apr 16 18:27:45 +0000 2018,en,London and Moscow,"Southall, London, United Kingdom",samagreene,How much you wanna bet Trump was shorting Rusal? https://t.co/UdhnzBx0CC,1523903265756,,125775260.0,Ealing
1.0,Mon Apr 16 18:27:47 +0000 2018,en,Essex,"Romford, London, United Kingdom",kirst_2194,Is today the day we finally say bye to STY? ?,1523903267253,,1914971130.0,Havering
6.0,Mon Apr 16 18:27:51 +0000 2018,en,"London, England","Lambeth, London, United Kingdom",mchapliaa,Is there life after #LibertyCon18? ??? @ESFLiberty,1523903271644,,8.386940901286461e+17,Lambeth
2.0,Mon Apr 16 18:27:56 +0000 2018,en,"Croydon London, United Kingdom","51.4005555, -0.1182442",rafu007,@LBC However much I dislike  @Nigel_Farage but he's 100% correct that #ISIS &amp; #AlQaeda are capable of carrying out https://t.co/K1v6K6wXWP,1523903276221,,7278922.0,Croydon
1.0,Mon Apr 16 18:27:57 +0000 2018,en,,"51.49620368, -0.10517815",JoonDance,Day 1 of Investigative Practice with Siobhan Davies and already super inspired ??? https://t.co/IMXAmZW8L1,1523903277650,,396657708.0,Southwark
3.0,Mon Apr 16 18:27:59 +0000 2018,en,Failsworth Manchester / ibiza ,"East Ham, London, United Kingdom",NOKES_____,? everywhere ?,1523903279446,,53773492.0,Newham
1.0,Mon Apr 16 18:27:59 +0000 2018,en,London,"Lambeth, London, United Kingdom",HenchAccount,Suarez loool https://t.co/4cYivD1KDa,1523903279802,,217624269.0,Lambeth
1.0,Mon Apr 16 18:28:06 +0000 2018,en,London ,"51.50711486, -0.12731805",OfficialSaprano,"I can imagine this in a video game ? ?????
#hiphop #music #yep #wcw #wow #instagood #trap https://t.co/arDKwk4CHT",1523903286382,,258515598.0,Westminster
3.0,Mon Apr 16 18:28:12 +0000 2018,en,London ,"Camberwell, London, United Kingdom",Jonnogreig,Utter carnage! @subictaxi @Uberfails3Ducks - brilliant stuff from your Uber Mates Vincent! @Richmond_Red https://t.co/AuKM4E7xVX,1523903292800,,1313704927.0,Southwark
19.0,Mon Apr 16 18:28:13 +0000 2018,en,"London, England","Camberwell, London, United Kingdom",mcgough_p,Ashamed I only listened to #RiversOfBlood speech for the 1st time today. How is there any debate? Fearing the blac https://t.co/9K4HIXAIMa,1523903293231,,2606844808.0,Southwark
1.0,Mon Apr 16 18:28:13 +0000 2018,en,London,"Eltham, London, United Kingdom",Krooz,@marcusguinane have you listened to the new Mince ?,1523903293426,,692543.0,Greenwich
2.0,Mon Apr 16 18:28:17 +0000 2018,en,"England, United Kingdom","51.5096, -0.2043",saraminniemay,"Notting Hill shades of blue ?
#london #nottinghill #spring #postitfortheaesthetic @ Notting Hill https://t.co/CubzuHR2ix",1523903297915,,247221446.0,Kensington and Chelsea
1.0,Mon Apr 16 18:28:24 +0000 2018,en,London/Nottinghamshire,"Camberwell, London, United Kingdom",AlexCStenson,"Fun start to @operahollandpk 2018  with Cosi Music Calls today, watching the fab @LaTynan        Cant wait to get https://t.co/P3ZgN8zuMC",1523903304230,,211206495.0,Southwark
1.0,Mon Apr 16 18:28:26 +0000 2018,en,London,"Poplar, London, United Kingdom",katiecraik,@JakeR_Hawkes Woo! What area?,1523903306280,,22269211.0,Tower Hamlets
1.0,Mon Apr 16 18:28:26 +0000 2018,en,,"Bexley, London, United Kingdom",se9hunk,@Danny_talkSPORT hi Dan. Can you ask Dennis if he likes Black pudding? I had a dream last night he was kicking off https://t.co/gM82zEUfqs,1523903306980,,295262376.0,Bexley
4.0,Mon Apr 16 18:28:29 +0000 2018,en,"London, U.K.","Paddington, London, United Kingdom",M_Anderson_PhD,"Shame you seem to believe over half of your constituents are immoral, to use your term for the #LGBT community. https://t.co/LqDfPo8Bru",1523903309430,,38716961.0,Westminster
1.0,Mon Apr 16 18:28:30 +0000 2018,en,North London,"Tottenham, London, United Kingdom",WillHughes__,My @ufc walkout song would have to be #ufc #walkoutsong https://t.co/SwLwt8Jxws,1523903310682,,79824083.0,Haringey
1.0,Mon Apr 16 18:28:30 +0000 2018,und,London,"Camden Town, London, United Kingdom",mkmswain,@mrdavidjays  https://t.co/6I7nDGvQbS,1523903310859,,186062772.0,Camden
2.0,Mon Apr 16 18:28:32 +0000 2018,en,"Lewisham, London","Lewisham, London, United Kingdom",thoroughlygood,@JesscorMogridge I bow to your considerably better grasp on handling everyday life.,1523903312680,,798794.0,Lewisham
2.0,Mon Apr 16 18:28:33 +0000 2018,en,,"51.50711486, -0.12731805",iamcoffeemusic,"#Repost @iamdulo (get_repost)
???
#SinceYallAreStillAwake ... Funke had not time ??? #LOL https://t.co/ugG8B76GcE",1523903313104,,1937083021.0,Westminster
1.0,Mon Apr 16 18:28:45 +0000 2018,en,,"51.59404203, -0.13081398",__rxchael,Had the best weekend seeing The Vaccines with my favourite people ? @ Alexandra Palace https://t.co/oWU3vMdIsj,1523903325949,,565815600.0,Haringey
1.0,Mon Apr 16 18:28:46 +0000 2018,en,London,"Richmond, London, United Kingdom",fyldelass,"It's not cricket, it's money. Our CEO tweeted how it was going to be a great season as T20 sales were up 20%. Not a https://t.co/5B4CZeOPh9",1523903326548,,192239716.0,Richmond upon Thames
1.0,Mon Apr 16 18:28:46 +0000 2018,en,Southampton and London,"Camden Town, London, United Kingdom",SaHall10,@AJonKnight Wow thats awesome and they look fabulous #veryproud @stjohnambulance,1523903326950,,815147876.0,Camden
1.0,Mon Apr 16 18:28:50 +0000 2018,en,Croydon ,"Croydon, London, United Kingdom",ParkHillFriends,"Lost lost lost 
Please note these 2 items were found in the walled garden on 
Sat 14th April 
The little kiosk cafe https://t.co/BCLE1b2zTN",1523903330376,,2604344245.0,Croydon
1.0,Mon Apr 16 18:28:55 +0000 2018,en,Wyatt ?,"51.5349177, -0.105903",brookssmilexx,Im gonna take your eyes and make them see that everything you are is everything I need https://t.co/GFgo9cp4Dz,1523903335222,,2891841039.0,Islington
2.0,Mon Apr 16 18:29:04 +0000 2018,en,London,"Paddington, London, Regno Unito",andreacrezzini,bored and sad but i got weed so its fine,1523903344415,,232893536.0,Westminster
6.0,Mon Apr 16 18:29:05 +0000 2018,en,59 Newington Green Rd N1 4QU,"51.5348, -0.087354",TheAlma_N1,"Upload farranbern ?
Email: Info@NorthByNorthWestPub.com
Tel: 02037736660
 #DateNight https://t.co/By82OUvmRq",1523903345985,,2192099668.0,Hackney
1.0,Mon Apr 16 18:29:07 +0000 2018,en,"Ostrów Wielkopolski, Polska","51.50711486, -0.12731805",ughhkika,This boy made my London life so special and amazing and i am more than happy (and kinda sad bc I https://t.co/Tc48vvDyfx,1523903347089,,223464874.0,Westminster
1.0,Mon Apr 16 18:29:08 +0000 2018,en,"London, UK","51.50711486, -0.12731805",jharphoto,"Last light in Canonbury 

#shotoniphonex @ London, United Kingdom https://t.co/SIGoXmaV1d",1523903348491,,44486998.0,Westminster
1.0,Mon Apr 16 18:29:08 +0000 2018,en,London,"51.50711486, -0.12731805",TomMedcalf,"Super Excited Dead Tired is going to The British Independent Film Festival! 
#short #Film https://t.co/hePZzUO6Re",1523903348630,,383123933.0,Westminster
1.0,Mon Apr 16 18:29:03 +0000 2018,en,"Auckland, New Zealand","51.50711486, -0.12731805",CreARTiveNZ,*** DESIGN YOUR OWN VINYL RECORD *** https://t.co/a3EqTdBSxh - #girl #hard #night #angel https://t.co/nWFkzhfVw5,1523903343339,,9.258480746011689e+17,Westminster
12.0,Mon Apr 16 18:29:11 +0000 2018,en,"London, England","Bromley, London, United Kingdom",gracedixson,"I cant wait to get away next month, even if its only to Birmingham. But I cant bloody wait.",1523903351049,,47627370.0,Bromley
1.0,Mon Apr 16 18:29:14 +0000 2018,und,"London, England","51.536, -0.12513",jprnic,#kingscross @kingscrossn1c #teamtrip #cbretag @cbre @cbre_london https://t.co/IjoQnjkgMj,1523903354640,,358124900.0,Camden
1.0,Mon Apr 16 18:29:20 +0000 2018,en,London,"51.53598531, -0.10320095",ohmygodjim,"Need to go back for that gorgeous Lavand-e-Murgh (Chicken in yogurt).
Thanks for the excellent https://t.co/wIIEaLxiQA",1523903360583,,17815732.0,Islington
6.0,Mon Apr 16 18:29:20 +0000 2018,en,LDN,"Hillingdon, London, United Kingdom",dxjonnny,who are you? https://t.co/YeKwtzWDmi,1523903360907,,173788700.0,Hillingdon
1.0,Mon Apr 16 18:29:27 +0000 2018,en,"Greenwich, SE London","Poplar, London, United Kingdom",JohnDWebb,"Were missing you too, @London_Studios. In fact, I missed getting my paws on these cakes too *sobs uncontrollably* https://t.co/a5SuxtlDqo",1523903367266,,178678286.0,Tower Hamlets
2.0,Mon Apr 16 18:29:34 +0000 2018,en,"Chislehurst, Kent ","Bromley, London, United Kingdom",ImperialArmsPub,Join us this Wednesday for our Indian #thali evening on the Courtyard Bistro. Just £29.95 for 2 0203 605 7898 https://t.co/zHKMsArbtq,1523903374333,,550053478.0,Bromley
2.0,Mon Apr 16 18:29:36 +0000 2018,en,"South East, UK","Southbank Centre, United Kingdom",LeeHComedy,All set for @marcmaron at Royal Festival Hall! https://t.co/ITRtMHlLNV,1523903376137,,8.615670969200804e+17,Lambeth
2.0,Mon Apr 16 18:29:37 +0000 2018,en,London,"Islington, London, United Kingdom",jayserrao,"@Champs_Digital @rickygervais Ricky if you are reading, for Humanitys sake, do you mind retweeting my album on Spo https://t.co/SDSvf8Kzkh",1523903377855,,51413203.0,Islington
8.0,Mon Apr 16 18:29:38 +0000 2018,en,London,"51.53874046, -0.01676238",hammerslibrary,"@silv24 Only a barbarian would desecrate a book like that. Mind you, when you see the state of some of our books...",1523903378740,,61754567.0,Newham
1.0,Mon Apr 16 18:29:48 +0000 2018,en,England,"Barnet, London, United Kingdom",NHSGradScheme,So why not become an ALS Facilitator https://t.co/eQoHCpfht4 @NHSgradalummids @NHSGrads_HI @NHSGradAlumNW https://t.co/HQ2Z4jBieR,1523903388370,,183579231.0,Barnet
27.0,Mon Apr 16 18:29:48 +0000 2018,en,Follow monike_fabrics on IG,"Sutton, London, United Kingdom",kingmooh,Hoh wey no get benefit is that one HoH #BBnaija https://t.co/ah7cGc6Vha,1523903388526,,134210858.0,Sutton
3.0,Mon Apr 16 18:29:51 +0000 2018,en,SOUTH LONDON,"Merton, London, United Kingdom",UA97_,.@BarkosBoxing93 vs @_shaneclarke ?good match-up,1523903391344,,512534562.0,Merton
1.0,Mon Apr 16 18:29:52 +0000 2018,en,"Melbourne, Australia","51.4718411, -0.48626783",chyloe14,#heathrow @ Heathrow Terminal 5 https://t.co/j7Mt28FOoi,1523903392633,,22699799.0,Hillingdon
